pair,is_envido,truco_max,truco_min,truco_mean,truco_median,envido_max,envido_min,envido_mean,envido_median,combined_mean,count
1e 7o,false,0.996246,0.948198,0.972222,0.972222,33,7,16.25,7,0.732323,36
1f 10,false,0.484106,0.277778,0.364459,0.336894,28,1,16.63,21,0.434184,124
1f 11,false,0.597104,0.347190,0.456333,0.458559,28,1,15.95,21,0.469814,156
1f 12,false,0.703239,0.416602,0.544927,0.521107,28,1,15.50,21,0.507312,188
1f 1f,false,0.740798,0.468983,0.604891,0.604891,28,1,13.58,14,0.508156,26
1f 4,false,0.034556,0.034556,0.034556,0.034556,25,4,14.50,14,0.236975,12
1f 5,false,0.171579,0.104247,0.122610,0.104247,29,5,17.82,25,0.331278,44
1f 6,false,0.301737,0.173659,0.220941,0.237924,31,6,19.21,26,0.401539,76
1f 7f,false,0.395109,0.225740,0.291655,0.287344,33,7,20.62,26,0.458252,50
2 10,false,0.524389,0.310210,0.400264,0.371643,29,2,17.12,22,0.459540,248
2 11,false,0.638760,0.388117,0.497711,0.500000,29,2,16.51,22,0.498953,312
2 12,false,0.742149,0.466023,0.589851,0.566924,29,2,16.10,22,0.538881,376
2 1f,false,0.811454,0.524968,0.654641,0.651051,29,2,16.36,22,0.575248,212
2 2,false,0.873874,0.584363,0.713176,0.730309,29,2,13.90,7,0.567123,172
2 4,false,0.037602,0.037602,0.037602,0.037602,26,4,15.00,15,0.246074,24
2 5,false,0.190412,0.115444,0.135890,0.115444,29,5,18.23,26,0.344116,88
2 6,false,0.332239,0.193350,0.244615,0.263020,31,6,19.61,27,0.419357,152
2 7f,false,0.432175,0.252295,0.322172,0.317589,33,7,21.00,27,0.479268,100
3 10,false,0.578443,0.355169,0.449169,0.419348,30,3,17.61,23,0.491447,248
3 11,false,0.694187,0.444058,0.553587,0.555942,30,3,17.06,23,0.535341,312
3 12,false,0.793458,0.532947,0.649973,0.628357,30,3,16.70,23,0.578049,376
3 1f,false,0.856070,0.599871,0.716002,0.712655,30,3,16.98,23,0.615291,212
3 2,false,0.911476,0.666281,0.779213,0.790004,30,3,17.19,23,0.650071,472
3 3,false,0.965766,0.756392,0.851721,0.849485,30,3,14.57,7,0.646640,196
3 4,false,0.043608,0.043608,0.043608,0.043608,27,4,15.50,15,0.256652,24
3 5,false,0.217010,0.132947,0.155873,0.132947,29,5,18.64,27,0.360306,88
3 6,false,0.373938,0.221836,0.278077,0.298370,31,6,20.00,28,0.442069,152
3 7f,false,0.481596,0.288760,0.363768,0.358859,33,7,21.38,28,0.505824,100
4 4,false,0.000000,0.000000,0.000000,0.000000,4,4,4.00,4,0.060606,4
5 4,false,0.001566,0.001566,0.001566,0.001566,29,5,17.00,17,0.258359,24
5 5,false,0.034234,0.013449,0.016418,0.013449,29,5,15.29,5,0.239811,28
6 4,false,0.007572,0.007572,0.007572,0.007572,30,6,18.00,18,0.276513,24
6 5,false,0.057422,0.027928,0.035972,0.027928,31,6,20.36,29,0.326526,88
6 6,false,0.126126,0.053689,0.075339,0.088524,31,6,17.31,6,0.299907,52
7e 10,false,0.626126,0.396439,0.493274,0.462634,33,7,19.61,25,0.543802,62
7e 11,false,0.742557,0.494552,0.603270,0.605663,33,7,19.32,25,0.594370,78
7e 12,false,0.837709,0.592664,0.702831,0.682497,33,7,19.13,25,0.641229,94
7e 1f,false,0.895109,0.665251,0.769223,0.766495,33,7,16.23,7,0.630466,53
7e 2,false,0.940541,0.739833,0.832358,0.841184,33,7,19.60,26,0.713175,118
7e 3,false,0.982497,0.837945,0.905542,0.902059,33,7,20.05,26,0.756593,134
7e 4,false,0.051051,0.051051,0.051051,0.051051,31,7,19.00,19,0.313404,6
7e 5,false,0.241956,0.151158,0.175921,0.151158,32,7,21.23,29,0.409586,22
7e 6,false,0.411583,0.249271,0.309490,0.331424,33,7,22.11,31,0.489673,38
7e 7f,false,0.524839,0.321858,0.401184,0.396032,33,7,19.00,7,0.488471,25
7e 7o,false,0.991120,0.897769,0.944444,0.944445,33,7,17.58,7,0.738636,36
7f 4,false,0.013535,0.013535,0.013535,0.013535,31,7,19.00,19,0.294646,12
7f 5,false,0.078486,0.042986,0.052668,0.042986,32,7,21.23,29,0.347959,44
7f 6,false,0.155791,0.073960,0.103824,0.114200,33,7,22.11,31,0.386840,76
7f 7f,false,0.188546,0.099314,0.143930,0.143930,33,7,19.50,19,0.367420,12
7o 10,false,0.612613,0.385199,0.481048,0.450708,33,7,19.61,25,0.537689,62
7o 11,false,0.728700,0.480566,0.589301,0.591677,33,7,19.32,25,0.587386,78
7o 12,false,0.824882,0.575933,0.687801,0.667139,33,7,19.13,25,0.633714,94
7o 1f,false,0.883955,0.646525,0.753882,0.751094,33,7,22.74,28,0.721424,53
7o 2,false,0.931832,0.718983,0.817021,0.826341,33,7,20.00,27,0.711541,118
7o 3,false,0.978250,0.814350,0.890853,0.886873,33,7,20.40,27,0.754449,134
7o 4,false,0.049550,0.049550,0.049550,0.049550,31,7,19.00,19,0.312654,6
7o 5,false,0.235307,0.146783,0.170926,0.146783,32,7,21.23,29,0.407088,22
7o 6,false,0.401158,0.242149,0.301124,0.322587,33,7,22.11,31,0.485490,38
7o 7f,false,0.512484,0.312741,0.390785,0.385714,33,7,19.00,7,0.483271,25
