hand,strength
6c 5b 4e,0.027927916666666656
6e 5o 4e,0.027927916666666656
6b 5o 4e,0.027927916666666656
6o 5o 4e,0.027927916666666656
6c 5o 4e,0.027927916666666656
6e 5c 4e,0.027927916666666656
6b 5c 4e,0.027927916666666656
6o 5c 4e,0.027927916666666656
6c 5c 4e,0.027927916666666656
6e 5e 4b,0.027927916666666656
6b 5e 4b,0.027927916666666656
6o 5e 4b,0.027927916666666656
6c 5e 4b,0.027927916666666656
6e 5b 4b,0.027927916666666656
6b 5b 4b,0.027927916666666656
6o 5b 4b,0.027927916666666656
6c 5b 4b,0.027927916666666656
6e 5o 4b,0.027927916666666656
6b 5o 4b,0.027927916666666656
6o 5o 4b,0.027927916666666656
6c 5o 4b,0.027927916666666656
6e 5c 4b,0.027927916666666656
6b 5c 4b,0.027927916666666656
6o 5c 4b,0.027927916666666656
6c 5c 4b,0.027927916666666656
6e 5e 4o,0.027927916666666656
6b 5e 4o,0.027927916666666656
6o 5e 4o,0.027927916666666656
6c 5e 4o,0.027927916666666656
6e 5b 4o,0.027927916666666656
6b 5b 4o,0.027927916666666656
6o 5b 4o,0.027927916666666656
6c 5b 4o,0.027927916666666656
6e 5o 4o,0.027927916666666656
6b 5o 4o,0.027927916666666656
6o 5o 4o,0.027927916666666656
6c 5o 4o,0.027927916666666656
6e 5c 4o,0.027927916666666656
6b 5c 4o,0.027927916666666656
6o 5c 4o,0.027927916666666656
6c 5c 4o,0.027927916666666656
6e 5e 4c,0.027927916666666656
6b 5e 4c,0.027927916666666656
6o 5e 4c,0.027927916666666656
6c 5e 4c,0.027927916666666656
6e 5b 4c,0.027927916666666656
6b 5b 4c,0.027927916666666656
6o 5b 4c,0.027927916666666656
6c 5b 4c,0.027927916666666656
6e 5o 4c,0.027927916666666656
6b 5o 4c,0.027927916666666656
6o 5o 4c,0.027927916666666656
6c 5o 4c,0.027927916666666656
6e 5c 4c,0.027927916666666656
6b 5c 4c,0.027927916666666656
6o 5c 4c,0.027927916666666656
6c 5c 4c,0.027927916666666656
12e 4e 4b,0.02859291666666665
12b 4e 4b,0.02859291666666665
12o 4e 4b,0.02859291666666665
12c 4e 4b,0.02859291666666665
12e 4e 4o,0.02859291666666665
12b 4e 4o,0.02859291666666665
12o 4e 4o,0.02859291666666665
12c 4e 4o,0.02859291666666665
12e 4e 4c,0.02859291666666665
12b 4e 4c,0.02859291666666665
12o 4e 4c,0.02859291666666665
12c 4e 4c,0.02859291666666665
12e 4b 4o,0.02859291666666665
12b 4b 4o,0.02859291666666665
12o 4b 4o,0.02859291666666665
12c 4b 4o,0.02859291666666665
12e 4b 4c,0.02859291666666665
12b 4b 4c,0.02859291666666665
12o 4b 4c,0.02859291666666665
12c 4b 4c,0.02859291666666665
12e 4o 4c,0.02859291666666665
12b 4o 4c,0.02859291666666665
12o 4o 4c,0.02859291666666665
12c 4o 4c,0.02859291666666665
5e 5b 5o,0.034234263888888866
5e 5b 5c,0.034234263888888866
5e 5o 5c,0.034234263888888866
5b 5o 5c,0.034234263888888866
1o 4e 4b,0.03455597222222225
1o 4e 4o,0.03455597222222225
1o 4e 4c,0.03455597222222225
1o 4b 4o,0.03455597222222225
1o 4b 4c,0.03455597222222225
1o 4o 4c,0.03455597222222225
1c 4e 4b,0.03455597222222225
1c 4e 4o,0.03455597222222225
1c 4e 4c,0.03455597222222225
1c 4b 4o,0.03455597222222225
1c 4b 4c,0.03455597222222225
1c 4o 4c,0.03455597222222225
2e 4e 4b,0.03760188888888886
2e 4e 4o,0.03760188888888886
2e 4e 4c,0.03760188888888886
2e 4b 4o,0.03760188888888886
2e 4b 4c,0.03760188888888886
2e 4o 4c,0.03760188888888886
2b 4e 4b,0.03760188888888886
2b 4e 4o,0.03760188888888886
2b 4e 4c,0.03760188888888886
2b 4b 4o,0.03760188888888886
2b 4b 4c,0.03760188888888886
2b 4o 4c,0.03760188888888886
2o 4e 4b,0.03760188888888886
2o 4e 4o,0.03760188888888886
2o 4e 4c,0.03760188888888886
2o 4b 4o,0.03760188888888886
2o 4b 4c,0.03760188888888886
2o 4o 4c,0.03760188888888886
2c 4e 4b,0.03760188888888886
2c 4e 4o,0.03760188888888886
2c 4e 4c,0.03760188888888886
2c 4b 4o,0.03760188888888886
2c 4b 4c,0.03760188888888886
2c 4o 4c,0.03760188888888886
7b 5e 4e,0.042985861111111134
7c 5e 4e,0.042985861111111134
7b 5b 4e,0.042985861111111134
7c 5b 4e,0.042985861111111134
7b 5o 4e,0.042985861111111134
7c 5o 4e,0.042985861111111134
7b 5c 4e,0.042985861111111134
7c 5c 4e,0.042985861111111134
7b 5e 4b,0.042985861111111134
7c 5e 4b,0.042985861111111134
7b 5b 4b,0.042985861111111134
7c 5b 4b,0.042985861111111134
7b 5o 4b,0.042985861111111134
7c 5o 4b,0.042985861111111134
7b 5c 4b,0.042985861111111134
7c 5c 4b,0.042985861111111134
7b 5e 4o,0.042985861111111134
7c 5e 4o,0.042985861111111134
7b 5b 4o,0.042985861111111134
7c 5b 4o,0.042985861111111134
7b 5o 4o,0.042985861111111134
7c 5o 4o,0.042985861111111134
7b 5c 4o,0.042985861111111134
7c 5c 4o,0.042985861111111134
7b 5e 4c,0.042985861111111134
7c 5e 4c,0.042985861111111134
7b 5b 4c,0.042985861111111134
7c 5b 4c,0.042985861111111134
7b 5o 4c,0.042985861111111134
7c 5o 4c,0.042985861111111134
7b 5c 4c,0.042985861111111134
7c 5c 4c,0.042985861111111134
3e 4e 4b,0.04360787499999999
3e 4e 4o,0.04360787499999999
