pair,is_envido,truco_max,truco_min,truco_mean,truco_median,envido_max,envido_min,envido_mean,envido_median,combined_mean,count
3 2,true,0.911476,0.666281,0.777854,0.790004,30,22,25.28,25,0.771970,292
3 2,false,0.911476,0.666281,0.781417,0.790004,7,3,4.07,3,0.452325,180
3 3,true,0.942578,0.756392,0.849346,0.849485,30,23,25.62,25,0.812930,96
3 3,false,0.965766,0.756392,0.854002,0.849485,7,3,3.96,3,0.487001,100
3 4,true,0.043608,0.043608,0.043608,0.043608,27,27,27.00,27,0.430895,12
3 4,false,0.043608,0.043608,0.043608,0.043608,4,4,4.00,4,0.082410,12
3 5,true,0.217010,0.132947,0.152346,0.132947,29,27,28.08,28,0.501581,52
3 5,false,0.217010,0.132947,0.160968,0.132947,5,5,5.00,5,0.156242,36
3 6,true,0.373938,0.221836,0.274951,0.298370,31,27,29.13,29,0.578846,92
3 6,false,0.373938,0.221836,0.282870,0.298370,6,6,6.00,6,0.232344,60
3 7f,true,0.481596,0.288760,0.362818,0.358859,33,27,30.19,30,0.638887,62
3 7f,false,0.481596,0.288760,0.365319,0.358859,7,7,7.00,7,0.288720,38
4 4,false,0.000000,0.000000,0.000000,0.000000,4,4,4.00,4,0.060606,4
5 4,true,0.001566,0.001566,0.001566,0.001566,29,29,29.00,29,0.440177,12
5 4,false,0.001566,0.001566,0.001566,0.001566,5,5,5.00,5,0.076541,12
5 5,true,0.013449,0.013449,0.013449,0.013449,29,29,29.00,29,0.446118,12
5 5,false,0.034234,0.013449,0.018645,0.013449,5,5,5.00,5,0.085080,16
6 4,true,0.007572,0.007572,0.007572,0.007572,30,30,30.00,30,0.458331,12
6 4,false,0.007572,0.007572,0.007572,0.007572,6,6,6.00,6,0.094695,12
6 5,true,0.057422,0.027928,0.034734,0.027928,31,29,30.31,31,0.476575,52
6 5,false,0.057422,0.027928,0.037759,0.027928,6,6,6.00,6,0.109789,36
6 6,true,0.088524,0.053689,0.071107,0.071107,31,30,30.50,30,0.497674,24
6 6,false,0.126126,0.053689,0.078966,0.088524,6,6,6.00,6,0.130392,28
7e 10,true,0.626126,0.396439,0.488306,0.462634,33,24,28.14,27,0.670443,37
7e 10,false,0.626126,0.396439,0.500628,0.528829,7,7,7.00,7,0.356375,25
7e 11,true,0.742557,0.494552,0.600131,0.605663,33,20,27.45,27,0.715926,47
7e 11,false,0.742557,0.494552,0.608029,0.605663,7,7,7.00,7,0.410075,31
7e 12,true,0.837709,0.592664,0.700840,0.682497,33,20,27.00,27,0.759511,57
7e 12,false,0.837709,0.592664,0.705899,0.715187,7,7,7.00,7,0.459010,37
7e 1f,true,0.868404,0.665251,0.766814,0.766495,33,21,26.56,27,0.785831,25
7e 1f,false,0.895109,0.665251,0.771373,0.766495,7,7,7.00,7,0.491747,28
7e 2,true,0.940541,0.739833,0.830179,0.841184,33,22,27.94,29,0.838479,71
7e 2,false,0.940541,0.739833,0.835650,0.841184,7,7,7.00,7,0.523886,47
7e 3,true,0.982497,0.837945,0.904487,0.902059,33,23,28.59,30,0.885465,81
7e 3,false,0.982497,0.837945,0.907153,0.902059,7,7,7.00,7,0.559637,53
7e 4,true,0.051051,0.051051,0.051051,0.051051,31,31,31.00,31,0.495222,3
7e 4,false,0.051051,0.051051,0.051051,0.051051,7,7,7.00,7,0.131586,3
7e 5,true,0.241956,0.151158,0.172111,0.151158,32,29,31.08,32,0.556918,13
7e 5,false,0.241956,0.151158,0.181424,0.151158,7,7,7.00,7,0.196773,9
7e 6,true,0.411583,0.249271,0.306161,0.331424,33,30,31.96,32,0.637270,23
7e 6,false,0.411583,0.249271,0.314595,0.331424,7,7,7.00,7,0.263358,15
7e 7f,true,0.470206,0.321858,0.396032,0.396032,33,31,32.00,32,0.682864,12
7e 7f,false,0.524839,0.321858,0.405940,0.396032,7,7,7.00,7,0.309031,13
7e 7o,true,0.991120,0.897769,0.945303,0.950279,33,27,29.41,29,0.918284,17
7e 7o,false,0.991120,0.897769,0.943677,0.938610,7,7,7.00,7,0.577899,19
7f 4,true,0.013535,0.013535,0.013535,0.013535,31,31,31.00,31,0.476464,6
7f 4,false,0.013535,0.013535,0.013535,0.013535,7,7,7.00,7,0.112828,6
