hand,truco_score
1e 4c 10o,-5.8378377
1e 4c 10c,-5.8378377
1e 4c 11e,1.6216216
1e 4c 11b,1.6216216
1e 4c 11o,1.6216216
1e 4c 11c,1.6216216
1e 4c 12e,9.081081
1e 4c 12b,9.081081
1e 4c 12o,9.081081
1e 4c 12c,9.081081
1e 5e 5b,-17.621622
1e 5e 5o,-17.621622
1e 5e 5c,-17.621622
1e 5e 6e,-10.864865
1e 5e 6b,-10.864865
1e 5e 6o,-10.864865
1e 5e 6c,-10.864865
1e 5e 7e,34.351353
1e 5e 7b,-6
1e 5e 7o,32.7027
1e 5e 7c,-6
1e 5e 10e,-0.972973
1e 5e 10b,-0.972973
1e 5e 10o,-0.972973
1e 5e 10c,-0.972973
1e 5e 11e,5.6216216
1e 5e 11b,5.6216216
1e 5e 11o,5.6216216
1e 5e 11c,5.6216216
1e 5e 12e,12.216216
1e 5e 12b,12.216216
1e 5e 12o,12.216216
1e 5e 12c,12.216216
1e 5b 5o,-17.621622
1e 5b 5c,-17.621622
1e 5b 6e,-10.864865
1e 5b 6b,-10.864865
1e 5b 6o,-10.864865
1e 5b 6c,-10.864865
1e 5b 7e,34.351353
1e 5b 7b,-6
1e 5b 7o,32.7027
1e 5b 7c,-6
1e 5b 10e,-0.972973
1e 5b 10b,-0.972973
1e 5b 10o,-0.972973
1e 5b 10c,-0.972973
1e 5b 11e,5.6216216
1e 5b 11b,5.6216216
1e 5b 11o,5.6216216
1e 5b 11c,5.6216216
1e 5b 12e,12.216216
1e 5b 12b,12.216216
1e 5b 12o,12.216216
1e 5b 12c,12.216216
1e 5o 5c,-17.621622
1e 5o 6e,-10.864865
1e 5o 6b,-10.864865
1e 5o 6o,-10.864865
1e 5o 6c,-10.864865
1e 5o 7e,34.351353
1e 5o 7b,-6
1e 5o 7o,32.7027
1e 5o 7c,-6
1e 5o 10e,-0.972973
1e 5o 10b,-0.972973
1e 5o 10o,-0.972973
1e 5o 10c,-0.972973
1e 5o 11e,5.6216216
